Elevation,Azimuth,ITD,ILD,Spectral ILD,Spectral ITD,Left MFCC,Right MFCC
-40,0,[-0.00292517 -0.01020408],[-0.66099167  5.29995263],[-0.65165035 -0.35012536],[-0.00580499 -0.00580499 -0.01160998],"[[-215.3534    -266.02942  ]
 [  11.187512    14.804047 ]
 [ -93.02696    -89.828476 ]
 [  -5.2943172   -1.5975487]
 [  -2.6464586    1.4374908]
 [  14.445509    18.824734 ]
 [ -26.531647   -23.081055 ]
 [   1.6480448    4.7860546]
 [  -9.275249    -5.3464603]
 [   7.8355827   11.394415 ]
 [ -12.634529    -8.909332 ]
 [   9.278091    11.850387 ]
 [ -23.799957   -20.737064 ]
 [  10.2205925   12.608486 ]
 [  -8.784218    -6.2673793]
 [ -12.180742    -9.858353 ]
 [   7.0321755    8.707809 ]
 [ -17.47185    -15.573191 ]
 [  -1.0268474    1.0924466]
 [   2.8566701    4.1835237]]","[[-211.98668   -263.11642  ]
 [  22.015656    25.37283  ]
 [-106.820435  -103.55687  ]
 [   4.0444717    6.8311214]
 [ -11.933712    -7.6634445]
 [  21.14954     25.099117 ]
 [ -33.31688    -30.335041 ]
 [   7.4135494   10.372168 ]
 [ -17.958942   -14.48996  ]
 [  12.178126    15.245346 ]
 [ -12.1646385   -8.648672 ]
 [   2.0227125    4.349511 ]
 [ -13.78108    -11.177865 ]
 [   3.4145062    5.723675 ]
 [ -10.244589    -8.114568 ]
 [  -3.4112816   -1.6736963]
 [  -6.8663254   -4.9925137]
 [  -3.505857    -2.368073 ]
 [ -10.995729    -9.025021 ]
 [   5.1234546    6.2707176]]"
-40,6,[-0.00287982 -0.01226757],[-2.37798214  4.35111016],[-2.42502794 -1.59030691],[-0.00580499  0.         -0.00580499],"[[-225.698      -276.14468   ]
 [  17.280422     21.194748  ]
 [ -99.42951     -96.194954  ]
 [   0.30169874    3.852481  ]
 [  -1.9871873     2.3136425 ]
 [  13.02891      17.209381  ]
 [ -23.532356    -20.0005    ]
 [  -0.75573206    2.3646739 ]
 [  -7.350319     -3.319313  ]
 [  10.263451     13.894522  ]
 [ -14.871328    -11.214623  ]
 [  11.66077      14.3777275 ]
 [ -26.047523    -23.263565  ]
 [  11.435631     13.891426  ]
 [  -8.341051     -5.7121773 ]
 [ -12.125221    -10.171073  ]
 [   5.6555433     7.6088924 ]
 [ -15.569927    -13.922269  ]
 [  -1.7228566     0.48002034]
 [   3.681629      5.156998  ]]","[[-202.54936   -253.89441  ]
 [  19.044891    22.528545 ]
 [-111.752075  -108.573746 ]
 [   7.781872    10.609745 ]
 [ -11.802698    -7.7151713]
 [  18.195328    22.20593  ]
 [ -29.493633   -26.668985 ]
 [   4.4317236    7.3835588]
 [ -19.781044   -16.566484 ]
 [  15.205473    18.358866 ]
 [ -14.034826   -10.745825 ]
 [   0.7983605    3.087492 ]
 [ -12.786095   -10.219692 ]
 [   4.9842916    7.4293733]
 [ -11.622671    -9.671491 ]
 [  -3.2071366   -1.3749142]
 [  -6.1241517   -4.3675203]
 [  -3.974367    -2.7075148]
 [  -9.756063    -7.865182 ]
 [   4.5470753    5.735508 ]]"
-40,13,[-0.00283447 -0.0122449 ],[-3.70270133  3.30974847],[-3.79815459 -2.36682013],[-0.00580499  0.         -0.01160998],"[[-234.29233    -284.24756   ]
 [  20.08823      23.748695  ]
 [ -99.27242     -95.91135   ]
 [   0.8873293     4.4910545 ]
 [  -2.0048728     2.2864628 ]
 [  14.718185     18.942352  ]
 [ -25.359484    -21.774673  ]
 [   0.28615963    3.4300013 ]
 [  -5.6605797    -1.4568154 ]
 [   9.263426     12.847292  ]
 [ -13.820768    -10.016149  ]
 [   9.948926     12.421843  ]
 [ -25.208136    -22.236036  ]
 [  10.779257     13.087818  ]
 [  -8.700832     -6.032034  ]
 [ -10.935248     -8.928093  ]
 [   3.114357      4.9823704 ]
 [ -13.453249    -11.786611  ]
 [  -3.2698445    -0.9367678 ]
 [   4.0596666     5.4136896 ]]","[[-1.96784714e+02 -2.48402481e+02]
 [ 1.76009693e+01  2.10169563e+01]
 [-1.12248390e+02 -1.09130157e+02]
 [ 8.34088421e+00  1.10668068e+01]
 [-1.27656841e+01 -8.72474670e+00]
 [ 1.90613251e+01  2.29837646e+01]
 [-3.00974617e+01 -2.73394852e+01]
 [ 4.51567078e+00  7.37158251e+00]
 [-2.05625439e+01 -1.74757538e+01]
 [ 1.55372963e+01  1.86333084e+01]
 [-1.37670765e+01 -1.06133862e+01]
 [-1.38891387e+00  7.41346121e-01]
 [-1.09976082e+01 -8.41661930e+00]
 [ 4.89328766e+00  7.27623367e+00]
 [-1.24168434e+01 -1.04892244e+01]
 [-1.83797741e+00 -2.61866562e-02]
 [-7.14037609e+00 -5.43305111e+00]
 [-3.37849617e+00 -2.09869456e+00]
 [-9.27268028e+00 -7.43361092e+00]
 [ 3.47586632e+00  4.58718109e+00]]"
-40,19,[-0.00278912 -0.0114059 ],[-5.16254127  2.55005836],[-5.3222537  -3.05038035],[-0.00580499 -0.01160998  0.04643991],"[[-244.70697   -293.829    ]
 [  23.014828    26.187485 ]
 [ -98.79088    -94.92628  ]
 [   1.6085453    5.0600452]
 [  -1.848212     2.8907378]
 [  16.625145    20.5738   ]
 [ -27.605568   -23.456556 ]
 [   1.6137202    4.5266647]
 [  -3.6915274    1.0264736]
 [   7.144439    10.537259 ]
 [ -12.110797    -7.9305983]
 [   6.3072686    8.351974 ]
 [ -22.745602   -19.247635 ]
 [   9.351582    11.413103 ]
 [  -8.972046    -6.0667   ]
 [ -10.571039    -8.673453 ]
 [   1.2542589    3.4134479]
 [ -11.671778   -10.248356 ]
 [  -4.7236805   -1.8400588]
 [   4.2821474    5.217946 ]]","[[-1.9168324e+02 -2.4336018e+02]
 [ 1.6694155e+01  2.0433990e+01]
 [-1.1334627e+02 -1.0996843e+02]
 [ 8.8859901e+00  1.1922178e+01]
 [-1.3850555e+01 -9.5485640e+00]
 [ 1.9852104e+01  2.4092754e+01]
 [-3.1294781e+01 -2.8300491e+01]
 [ 4.4043965e+00  7.5488205e+00]
 [-2.1393373e+01 -1.8086803e+01]
 [ 1.6075073e+01  1.9482645e+01]
 [-1.4829003e+01 -1.1501179e+01]
 [-2.3683796e+00 -1.3699146e-02]
 [-1.0491683e+01 -7.6266980e+00]
 [ 4.4515162e+00  7.1058645e+00]
 [-1.2471359e+01 -1.0231772e+01]
 [-1.7436318e+00  3.8420191e-01]
 [-7.2382431e+00 -5.2584972e+00]
 [-3.5432997e+00 -1.9287354e+00]
 [-9.1642857e+00 -7.0859766e+00]
 [ 3.2731247e+00  4.6405582e+00]]"
-40,26,[-0.00276644 -0.01136054],[-6.35851383  2.47358426],[-6.57437205 -3.56172472],[0.         0.         0.04643991],"[[-253.57127   -302.23035  ]
 [  25.928284    28.00418  ]
 [ -97.73509    -94.003815 ]
 [   3.4178228    6.2898607]
 [  -1.4321487    3.1332374]
 [  19.433853    22.487019 ]
 [ -29.439096   -25.108685 ]
 [   4.368159     6.379137 ]
 [  -2.5560377    1.983062 ]
 [   6.008376     8.870297 ]
 [ -10.444851    -6.7497063]
 [   3.9515843    5.188567 ]
 [ -19.779842   -16.282806 ]
 [   8.5811825    9.752616 ]
 [  -8.689192    -6.058739 ]
 [ -10.1974125   -8.924105 ]
 [   1.0808294    2.9524345]
 [ -10.208317    -9.501505 ]
 [  -4.722835    -1.8065339]
 [   4.2463274    4.177487 ]]","[[-187.68242   -239.64868  ]
 [  16.102924    19.78954  ]
 [-113.44381   -110.19603  ]
 [   9.261381    12.243305 ]
 [ -14.114018    -9.954056 ]
 [  20.962059    25.154354 ]
 [ -32.62227    -29.789787 ]
 [   5.1892157    8.266958 ]
 [ -21.858433   -18.718971 ]
 [  17.027626    20.391563 ]
 [ -16.193897   -13.078543 ]
 [  -1.2130399    1.0526433]
 [ -11.459011    -8.75728  ]
 [   5.241886     7.834057 ]
 [ -12.1947775  -10.072659 ]
 [  -2.5353975   -0.4548238]
 [  -4.900571    -2.988698 ]
 [  -5.605983    -4.060969 ]
 [  -7.381039    -5.4311156]
 [   3.0981545    4.3939176]]"
-40,32,[-0.00272109 -0.01133787],[-7.78083801  3.42299223],[-8.05067658 -4.28489119],[ 0.         -0.00580499  0.01160998],"[[-2.6558868e+02 -3.1337518e+02]
 [ 2.9186089e+01  3.1054749e+01]
 [-9.7393677e+01 -9.3166641e+01]
 [ 5.0748034e+00  8.1748219e+00]
 [-1.2556106e+00  3.7279263e+00]
 [ 2.1455782e+01  2.4612593e+01]
 [-3.2187958e+01 -2.7267967e+01]
 [ 7.6842670e+00  9.7055645e+00]
 [-4.6593542e+00  3.1319481e-01]
 [ 5.4200225e+00  8.2925959e+00]
 [-1.1282855e+01 -7.2966347e+00]
 [ 2.4236326e+00  3.6317894e+00]
 [-1.8429203e+01 -1.4477194e+01]
 [ 7.0131035e+00  8.2547588e+00]
 [-9.0276394e+00 -6.2541642e+00]
 [-1.1023315e+01 -9.4568310e+00]
 [ 7.5678313e-01  2.8274722e+00]
 [-9.3639412e+00 -8.3827629e+00]
 [-5.7267647e+00 -2.4204571e+00]
 [ 3.4970007e+00  3.2962303e+00]]","[[-1.85250793e+02 -2.37350677e+02]
 [ 1.69607277e+01  2.05825996e+01]
 [-1.14439651e+02 -1.11057465e+02]
 [ 9.71549511e+00  1.26122828e+01]
 [-1.39620743e+01 -9.67553616e+00]
 [ 2.09220123e+01  2.50222073e+01]
 [-3.30623932e+01 -3.01315308e+01]
 [ 4.03632069e+00  7.01472044e+00]
 [-1.95249939e+01 -1.62759571e+01]
 [ 1.41370888e+01  1.73874702e+01]
 [-1.46260500e+01 -1.14345551e+01]
 [-1.94322944e+00  2.05246925e-01]
 [-1.21809378e+01 -9.40991974e+00]
 [ 6.44760084e+00  8.98492813e+00]
 [-1.33639603e+01 -1.11898270e+01]
 [-2.55113649e+00 -4.71672297e-01]
 [-2.69455624e+00 -6.29032135e-01]
 [-8.71012497e+00 -7.24798107e+00]
 [-4.43596649e+00 -2.36091566e+00]
 [ 1.29490769e+00  2.47721934e+00]]"
-40,39,[-0.00269841 -0.01036281],[-9.11863506  3.62511337],[-9.42376077 -5.07311523],[-0.00580499 -0.00580499  0.00580499],"[[-276.60382    -323.98102   ]
 [  32.555542     33.63041   ]
 [ -96.1021      -91.757385  ]
 [   6.086272      8.572992  ]
 [   1.0575083     6.178937  ]
 [  21.047726     23.551058  ]
 [ -31.990217    -26.992428  ]
 [   8.988403     10.3804    ]
 [  -6.855817     -2.0790656 ]
 [   5.787899      8.124612  ]
 [ -12.606693     -8.899387  ]
 [   2.9388447     3.6657064 ]
 [ -18.103748    -14.252571  ]
 [   5.934514      6.5762777 ]
 [  -8.354932     -5.6504507 ]
 [ -11.740393    -10.683255  ]
 [   0.87283266    2.900084  ]
 [  -7.817645     -7.2009997 ]
 [  -7.2228317    -4.098619  ]
 [   3.169075      2.3834507 ]]","[[-1.85385361e+02 -2.37635223e+02]
 [ 1.94321442e+01  2.30031891e+01]
 [-1.16641853e+02 -1.13188095e+02]
 [ 1.08792953e+01  1.36590290e+01]
 [-1.45303802e+01 -1.01171017e+01]
 [ 2.08671761e+01  2.47892227e+01]
 [-3.38456497e+01 -3.07862015e+01]
 [ 3.31304502e+00  6.10247707e+00]
 [-1.78694115e+01 -1.44462719e+01]
 [ 1.11559734e+01  1.41377983e+01]
 [-1.29309406e+01 -9.54607010e+00]
 [-3.00920129e+00 -1.11497045e+00]
 [-1.30575371e+01 -1.01443443e+01]
 [ 8.02662373e+00  1.03946295e+01]
 [-1.60654697e+01 -1.38461037e+01]
 [-8.46531272e-01  1.16734695e+00]
 [-2.94737196e+00 -7.75143981e-01]
 [-9.89562225e+00 -8.56358528e+00]
 [-3.05494928e+00 -8.63281846e-01]
 [ 3.63343060e-02  1.06267381e+00]]"
-40,45,[-0.00265306 -0.01029478],[-10.47303677   2.92264342],[-10.81407428  -5.88721871],[-0.00580499 -0.00580499  0.02321995],"[[-288.89655   -336.19525  ]
 [  37.5642      38.48439  ]
 [ -95.21684    -91.466705 ]
 [   8.869499    11.670046 ]
 [   2.7714996    7.1389112]
 [  20.887691    23.539948 ]
 [ -31.295074   -26.909595 ]
 [   9.034019    10.326706 ]
 [  -8.0225115   -4.0071335]
 [   5.285868     7.5726814]
 [ -12.594337    -9.531555 ]
 [   3.9414246    4.5130095]
 [ -18.802406   -15.365814 ]
 [   6.2696204    6.7204475]
 [  -7.823243    -5.659393 ]
 [ -12.274003   -11.202473 ]
 [   1.593716     3.1797228]
 [  -6.263089    -5.8167677]
 [  -9.506723    -6.7983027]
 [   4.311792     3.186811 ]]","[[-1.8415408e+02 -2.3676877e+02]
 [ 1.9852577e+01  2.3613873e+01]
 [-1.1618890e+02 -1.1300608e+02]
 [ 1.0464529e+01  1.3384027e+01]
 [-1.3227193e+01 -9.0257244e+00]
 [ 1.9436831e+01  2.3398363e+01]
 [-3.2918541e+01 -3.0018177e+01]
 [ 1.9739707e+00  4.7748671e+00]
 [-1.5444253e+01 -1.2158029e+01]
 [ 7.9152765e+00  1.0875138e+01]
 [-1.0118515e+01 -6.8872309e+00]
 [-5.1761975e+00 -3.2640491e+00]
 [-1.1674769e+01 -8.9190826e+00]
 [ 7.6278620e+00  1.0015874e+01]
 [-1.6549191e+01 -1.4520868e+01]
 [-2.9894722e-01  1.8107798e+00]
 [-2.5476131e+00 -5.6404322e-01]
 [-1.0868044e+01 -9.4040108e+00]
 [-1.5257412e+00  4.3648767e-01]
 [-1.0658510e+00  9.1229141e-02]]"
-40,51,[-0.00260771 -0.01024943],[-12.12182522   1.60068631],[-12.51235843  -6.81494474],[-0.00580499  0.          0.01741497],"[[-304.5601    -351.76016  ]
 [  45.55895     45.702175 ]
 [ -94.53235    -91.7487   ]
 [  14.864107    17.782999 ]
 [   2.346983     5.2734146]
 [  21.48166     24.150211 ]
 [ -31.377079   -28.392994 ]
 [   8.567604     9.843224 ]
 [  -7.9256735   -5.7515354]
 [   2.541648     5.1708403]
 [  -8.576752    -7.0868363]
 [   2.6524417    2.9769642]
 [ -18.832779   -16.054625 ]
 [   8.522938     8.0932665]
 [  -9.525412    -7.9193873]
 [ -10.542448    -9.862921 ]
 [   2.4771414    2.9919915]
 [  -6.8204956   -6.4950504]
 [  -9.362261    -7.9393063]
 [   4.8247175    3.5623891]]","[[-181.14842    -234.11768   ]
 [  17.56011      20.978611  ]
 [-113.532074   -110.907135  ]
 [   9.340547     12.252586  ]
 [ -11.836073     -8.33469   ]
 [  17.276821     20.977644  ]
 [ -30.304108    -27.644669  ]
 [  -0.827586      1.3240647 ]
 [ -12.3927       -9.2728615 ]
 [   5.1375895     7.708188  ]
 [  -8.120668     -5.5165854 ]
 [  -6.856225     -4.973611  ]
 [  -9.470434     -7.289732  ]
 [   5.1396446     7.1219854 ]
 [ -14.060211    -12.177546  ]
 [  -2.493162     -0.9530548 ]
 [  -0.52507395    1.1472929 ]
 [ -12.602072    -11.216675  ]
 [   0.7518779     2.015817  ]
 [  -3.2025323    -2.040052  ]]"
-40,58,[-0.00258503 -0.01020408],[-13.82842183   0.36466639],[-14.26759481  -7.77377188],[-0.00580499  0.          0.01741497],"[[-323.43967   -367.61075  ]
 [  57.752098    55.625725 ]
 [ -95.61348    -89.68202  ]
 [  18.996983    20.803097 ]
 [   2.8629441    7.7255955]
 [  16.717182    19.126892 ]
 [ -28.504932   -24.364288 ]
 [   6.6340857    8.109    ]
 [  -9.366991    -6.362289 ]
 [   1.8919327    4.8592806]
 [  -6.8478236   -4.2234616]
 [   0.7841711    1.1152192]
 [ -18.029537   -13.71166  ]
 [   7.4475718    6.5885777]
 [  -9.292832    -5.9064217]
 [ -10.759638   -10.473748 ]
 [   2.7983916    4.7382903]
 [  -8.216506    -7.9604177]
 [  -9.085547    -6.6607757]
 [   4.909827     3.6722062]]","[[-178.57463   -231.45386  ]
 [  14.981894    18.68958  ]
 [-111.722626  -108.93077  ]
 [  10.008767    13.348214 ]
 [ -13.445191    -9.83243  ]
 [  17.216856    21.172077 ]
 [ -28.97813    -25.91891  ]
 [  -2.9295173   -0.7383648]
 [ -11.408699    -7.924521 ]
 [   5.071088     7.916828 ]
 [  -9.717671    -7.094307 ]
 [  -5.4057856   -3.0127034]
 [ -10.005854    -7.765724 ]
 [   3.9811246    6.1804495]
 [ -12.132311    -9.85832  ]
 [  -4.6145945   -3.0872264]
 [   0.5369209    2.5478292]
 [ -13.229084   -11.57468  ]
 [   1.9132662    3.2720606]
 [  -5.20054     -3.6986923]]"
