Elevation,Azimuth,ITD,ILD,Spectral ILD,Spectral ITD,Left MFCC,Right MFCC
-10,0,[-0.00292517 -0.01018141],[0.266732   0.93314514],[0.2690964 0.2775728],[-0.01160998 -0.00580499  0.        ],"[[-199.90599    -251.3258    ]
 [  -9.529352     -5.5765133 ]
 [ -78.43828     -75.316     ]
 [  -3.3726501     0.63383293]
 [   9.768466     14.194313  ]
 [  11.753318     15.8970585 ]
 [ -42.6981      -39.98402   ]
 [   8.928131     12.0155735 ]
 [ -19.185612    -15.528076  ]
 [  18.868519     22.938057  ]
 [ -12.364021     -9.18309   ]
 [  -6.374839     -3.9689274 ]
 [ -11.65505      -9.063969  ]
 [   3.9677017     6.6001787 ]
 [  -8.473506     -5.699458  ]
 [  -4.442685     -2.746041  ]
 [  -6.7904043    -4.8677077 ]
 [  -9.099692     -7.4508724 ]
 [   0.93820685    2.8464956 ]
 [  -6.422737     -4.5802236 ]]","[[-2.0854100e+02 -2.6012430e+02]
 [ 1.2185602e+01  1.6414783e+01]
 [-9.6032455e+01 -9.2768875e+01]
 [ 4.9053040e+00  8.7156200e+00]
 [ 7.6255026e+00  1.2323519e+01]
 [ 5.3985219e+00  9.4666882e+00]
 [-3.5373745e+01 -3.2656399e+01]
 [ 4.9007630e+00  8.1626110e+00]
 [-1.9164669e+01 -1.5599075e+01]
 [ 2.1024233e+01  2.5196024e+01]
 [-1.7579678e+01 -1.4580187e+01]
 [-3.9341049e+00 -1.4776354e+00]
 [-1.1523883e+01 -8.8459969e+00]
 [ 3.0836008e+00  5.6472673e+00]
 [-1.0485387e+01 -7.7643113e+00]
 [-5.3627080e-01  1.3192127e+00]
 [-1.1103985e+01 -9.1263142e+00]
 [-5.3455601e+00 -3.8379674e+00]
 [-2.0717831e+00 -4.4736624e-02]
 [-7.5169406e+00 -5.8541737e+00]]"
-10,5,[-0.00287982 -0.01018141],[-1.47343338  0.42903516],[-1.5182811  -0.85201576],[-0.01160998 -0.00580499  0.        ],"[[-209.85387    -261.09167   ]
 [  -4.1136837    -0.52727604]
 [ -78.61174     -75.79495   ]
 [  -3.0569587     0.73662275]
 [  10.327153     14.412235  ]
 [  12.1900215    16.076832  ]
 [ -41.37767     -38.84645   ]
 [   8.937891     11.651062  ]
 [ -19.157965    -15.761082  ]
 [  18.222462     21.9021    ]
 [ -12.286085     -9.406363  ]
 [  -5.2538853    -3.0247035 ]
 [ -11.344518     -9.023491  ]
 [   4.1376076     6.448387  ]
 [  -8.995727     -6.4987774 ]
 [  -4.0229683    -2.670998  ]
 [  -6.10675      -4.3663454 ]
 [  -9.065695     -7.648971  ]
 [   1.1409148     2.7386394 ]
 [  -5.6755934    -4.066106  ]]","[[-199.50696    -251.42146   ]
 [   7.477209     11.657354  ]
 [ -94.74219     -91.55478   ]
 [   4.5537405     8.2274    ]
 [   6.118152     10.750003  ]
 [   6.133068     10.084265  ]
 [ -35.68016     -33.05299   ]
 [   4.0486135     7.2184715 ]
 [ -18.661423    -15.163821  ]
 [  21.739904     25.919838  ]
 [ -17.295826    -14.356517  ]
 [  -4.5867195    -2.2439606 ]
 [ -11.225641     -8.655452  ]
 [   2.4626741     4.9608364 ]
 [  -9.296469     -6.607027  ]
 [  -0.99811715    0.7690485 ]
 [ -11.372007     -9.476524  ]
 [  -4.4985194    -3.0855603 ]
 [  -3.167769     -1.2359527 ]
 [  -6.6875467    -5.0456533 ]]"
-10,10,[-0.00283447 -0.01179138],[-3.15547019  0.23635436],[-3.24823767 -1.9387275 ],[-0.00580499 -0.00580499 -0.00580499],"[[-220.29958   -270.83414  ]
 [   1.1125026    4.924857 ]
 [ -79.9989     -76.80766  ]
 [  -2.3947988    1.8795313]
 [   9.794298    14.159267 ]
 [  12.686751    17.011501 ]
 [ -41.115868   -38.134544 ]
 [   8.448593    11.406631 ]
 [ -19.321709   -15.467537 ]
 [  16.476847    20.321707 ]
 [ -12.292552    -9.043217 ]
 [  -4.805398    -2.0374348]
 [ -11.261757    -8.65896  ]
 [   3.595839     6.245841 ]
 [ -10.236713    -7.377941 ]
 [  -4.138159    -2.5960827]
 [  -5.6243      -3.3562002]
 [  -9.794279    -8.022095 ]
 [   1.1118827    2.9727347]
 [  -5.9823456   -3.9757462]]","[[-191.27338    -243.33148   ]
 [   3.3398633     7.726576  ]
 [ -94.45302     -91.09299   ]
 [   5.16158       8.985816  ]
 [   3.94485       8.739521  ]
 [   6.8224716    10.928539  ]
 [ -36.080338    -33.303497  ]
 [   3.191681      6.530609  ]
 [ -18.447372    -14.777945  ]
 [  22.370003     26.779533  ]
 [ -17.721666    -14.612492  ]
 [  -4.6896       -2.1758947 ]
 [ -11.360929     -8.650158  ]
 [   2.2889178     4.990814  ]
 [  -8.996914     -6.156425  ]
 [  -1.5913305     0.32670587]
 [ -11.489084     -9.44652   ]
 [  -3.9527602    -2.3704882 ]
 [  -4.3798656    -2.3241887 ]
 [  -6.017983     -4.205452  ]]"
-10,15,[-0.00278912 -0.01179138],[-4.76506531  0.9634611 ],[-4.90409791 -3.00950706],[-0.01160998 -0.00580499  0.00580499],"[[-230.81404   -281.11288  ]
 [   7.301242    10.617004 ]
 [ -80.73587    -77.89934  ]
 [  -1.1367874    2.9467921]
 [   9.55184     13.501009 ]
 [  14.468477    18.48723  ]
 [ -41.01606    -38.23728  ]
 [   8.894353    11.389526 ]
 [ -19.416042   -15.8526125]
 [  15.553888    18.94088  ]
 [ -11.51612     -8.571346 ]
 [  -3.8713303   -1.2578605]
 [ -10.496967    -8.245529 ]
 [   3.1830962    5.459179 ]
 [ -10.829735    -8.254841 ]
 [  -3.5755363   -2.4633186]
 [  -4.695349    -2.568567 ]
 [ -10.069159    -8.562003 ]
 [   1.65972      3.146109 ]
 [  -6.260366    -4.5115013]]","[[-184.50407    -236.86351   ]
 [   0.840785      5.1367245 ]
 [ -95.14276     -91.866     ]
 [   6.8110175    10.517042  ]
 [   1.2586391     5.936597  ]
 [   7.5666666    11.568926  ]
 [ -36.00521     -33.331688  ]
 [   2.354393      5.596322  ]
 [ -18.398762    -14.832481  ]
 [  22.960194     27.31578   ]
 [ -18.306477    -15.281545  ]
 [  -4.4046535    -1.9693267 ]
 [ -11.533718     -8.899036  ]
 [   2.3896022     5.0412416 ]
 [  -8.792736     -6.065366  ]
 [  -2.5680962    -0.74927205]
 [ -10.956627     -8.995518  ]
 [  -3.7430835    -2.2242546 ]
 [  -5.3133926    -3.3405309 ]
 [  -5.374305     -3.635512  ]]"
-10,20,[-0.00276644 -0.01176871],[-6.18944943  1.88572168],[-6.37494266 -3.96631181],[-0.01160998  0.          0.        ],"[[-2.41548431e+02 -2.91211823e+02]
 [ 1.33940201e+01  1.67088203e+01]
 [-8.13115997e+01 -7.82927780e+01]
 [-2.78233856e-01  4.08065510e+00]
 [ 9.45781136e+00  1.36006832e+01]
 [ 1.62636414e+01  2.03606968e+01]
 [-4.13923645e+01 -3.82312050e+01]
 [ 9.17831802e+00  1.16691895e+01]
 [-1.98495445e+01 -1.60925102e+01]
 [ 1.50077534e+01  1.84732628e+01]
 [-1.10535345e+01 -7.89259338e+00]
 [-2.68205547e+00  1.76344842e-01]
 [-1.03621788e+01 -7.90542507e+00]
 [ 2.55421734e+00  4.81835270e+00]
 [-1.10702410e+01 -8.23594856e+00]
 [-3.27094984e+00 -2.13125753e+00]
 [-3.82108855e+00 -1.41358089e+00]
 [-1.04318562e+01 -8.73003769e+00]
 [ 2.10445428e+00  3.64302850e+00]
 [-6.83752728e+00 -4.96891594e+00]]","[[-179.76869   -232.35434  ]
 [   1.0394747    5.341798 ]
 [ -97.254906   -93.983475 ]
 [  10.047188    13.7520485]
 [  -1.8530791    2.7728925]
 [   8.69175     12.695507 ]
 [ -35.492867   -32.830193 ]
 [   1.9146028    5.145587 ]
 [ -17.979393   -14.43988  ]
 [  23.08611     27.441559 ]
 [ -18.112804   -15.106527 ]
 [  -4.20055     -1.7424996]
 [ -10.848519    -8.210631 ]
 [   2.3958523    5.0625525]
 [  -8.121797    -5.451008 ]
 [  -3.4067283   -1.6576961]
 [ -10.348321    -8.399151 ]
 [  -2.6019425   -1.1042951]
 [  -6.861967    -4.938575 ]
 [  -3.3347383   -1.6011932]]"
-10,25,[-0.00272109 -0.01179138],[-7.43268609  2.50502586],[-7.67282248 -4.70625162],[-0.01160998  0.          0.        ],"[[-2.5240427e+02 -3.0138925e+02]
 [ 1.9149113e+01  2.2383818e+01]
 [-8.1863449e+01 -7.8835495e+01]
 [ 3.9637402e-02  4.8160205e+00]
 [ 9.4725189e+00  1.3572081e+01]
 [ 1.7772709e+01  2.1986431e+01]
 [-4.2629082e+01 -3.9226517e+01]
 [ 9.2323170e+00  1.1708674e+01]
 [-2.0601831e+01 -1.6735775e+01]
 [ 1.4619903e+01  1.8192831e+01]
 [-1.0906328e+01 -7.6479807e+00]
 [-1.6570325e+00  1.4840109e+00]
 [-1.1154343e+01 -8.7107010e+00]
 [ 1.9139326e+00  4.2461786e+00]
 [-1.1192309e+01 -8.1901598e+00]
 [-3.4934490e+00 -2.3309553e+00]
 [-3.1644130e+00 -5.3189903e-01]
 [-1.0918348e+01 -9.0518093e+00]
 [ 2.0175738e+00  3.4949584e+00]
 [-7.3929033e+00 -5.2536783e+00]]","[[-177.20818   -229.994    ]
 [   3.049756     7.3219533]
 [-101.01564    -97.75258  ]
 [  14.040096    17.74812  ]
 [  -5.7693095   -1.2277446]
 [   9.787415    13.801274 ]
 [ -35.324028   -32.670174 ]
 [   1.383354     4.577441 ]
 [ -17.362938   -13.822918 ]
 [  21.992153    26.274786 ]
 [ -17.637543   -14.645126 ]
 [  -4.343034    -1.8372605]
 [ -10.148883    -7.5399218]
 [   2.0473528    4.7723374]
 [  -7.8382807   -5.255146 ]
 [  -4.0343456   -2.354499 ]
 [ -10.598442    -8.632984 ]
 [  -1.0599375    0.3872816]
 [  -9.181       -7.263623 ]
 [  -0.9477216    0.7875408]]"
-10,30,[-0.00267574 -0.01179138],[-8.5022229  0.9511102],[-8.80700231 -5.27420044],[-0.01160998  0.          0.        ],"[[-2.62941956e+02 -3.11390106e+02]
 [ 2.52858238e+01  2.79955635e+01]
 [-8.16873932e+01 -7.87854385e+01]
 [ 1.20828912e-01  4.79242897e+00]
 [ 1.08896065e+01  1.47758551e+01]
 [ 1.87444687e+01  2.26409302e+01]
 [-4.37300797e+01 -4.03254204e+01]
 [ 9.63987350e+00  1.16378822e+01]
 [-2.08919487e+01 -1.70133514e+01]
 [ 1.50002003e+01  1.82434425e+01]
 [-1.05210648e+01 -7.40336657e+00]
 [-6.65443182e-01  2.34457541e+00]
 [-1.19642506e+01 -9.72771549e+00]
 [ 1.93137252e+00  3.81884503e+00]
 [-1.08399105e+01 -7.74864483e+00]
 [-3.68238306e+00 -2.89401436e+00]
 [-1.99853981e+00  5.32743812e-01]
 [-1.12315674e+01 -9.51465797e+00]
 [ 2.15635133e+00  3.39858866e+00]
 [-7.46814632e+00 -5.59007549e+00]]","[[-1.75620850e+02 -2.28697113e+02]
 [ 6.03778601e+00  1.00510101e+01]
 [-1.04766685e+02 -1.01699005e+02]
 [ 1.81507950e+01  2.16848907e+01]
 [-9.33605385e+00 -5.08799267e+00]
 [ 1.09802513e+01  1.48219347e+01]
 [-3.49676285e+01 -3.25106773e+01]
 [ 9.15831268e-01  3.87300038e+00]
 [-1.59326878e+01 -1.25430088e+01]
 [ 2.01303082e+01  2.40770226e+01]
 [-1.67660675e+01 -1.39460468e+01]
 [-4.26880169e+00 -1.88834441e+00]
 [-8.94540024e+00 -6.56271219e+00]
 [ 1.29562223e+00  3.91697812e+00]
 [-7.00927734e+00 -4.72678661e+00]
 [-4.69994164e+00 -3.23489952e+00]
 [-1.02902031e+01 -8.48638153e+00]
 [-1.87820092e-01  9.80972886e-01]
 [-1.02741299e+01 -8.43773746e+00]
 [ 7.82511353e-01  2.25119257e+00]]"
-10,35,[-0.00263039 -0.00936508],[-9.43263233  1.08815536],[-9.81141806 -5.55093348],[-0.01160998 -0.01160998  0.01741497],"[[-273.0556    -320.86798  ]
 [  31.029589    33.32254  ]
 [ -82.09193    -79.03738  ]
 [   1.0364498    5.5956097]
 [  11.672485    15.554467 ]
 [  19.058125    22.71809  ]
 [ -44.752075   -41.151318 ]
 [   8.901318    10.459749 ]
 [ -19.8641     -15.744341 ]
 [  15.049786    18.162521 ]
 [ -10.952186    -7.9805346]
 [   0.8575169    3.9021382]
 [ -14.008623   -11.834144 ]
 [   2.7652044    4.297683 ]
 [ -10.917126    -7.5772142]
 [  -4.033802    -3.4143293]
 [  -1.0424539    1.387012 ]
 [ -11.382101    -9.569132 ]
 [   1.1095694    2.2346206]
 [  -6.1718106   -4.515625 ]]","[[-175.074     -228.2246   ]
 [   8.856283    13.013433 ]
 [-108.35765   -105.15631  ]
 [  20.911674    24.623348 ]
 [ -12.231324    -7.915472 ]
 [  10.88668     14.903927 ]
 [ -34.066116   -31.447693 ]
 [  -1.0119731    2.0485792]
 [ -13.55267     -9.935934 ]
 [  16.721329    20.644806 ]
 [ -15.829195   -12.830322 ]
 [  -5.03722     -2.4209223]
 [  -7.2064686   -4.688485 ]
 [  -0.9707774    1.8802112]
 [  -6.061962    -3.7424097]
 [  -5.6536984   -3.992369 ]
 [ -10.678748    -8.749497 ]
 [   0.4124204    1.7070107]
 [ -11.964923    -9.882906 ]
 [   2.594106     4.1339216]]"
-10,40,[-0.00258503 -0.01031746],[-10.25588393   0.2949092 ],[-10.71422458  -5.57198763],[-0.01160998 -0.01160998  0.01741497],"[[-282.8441     -329.93088   ]
 [  36.973446     38.592865  ]
 [ -82.41219     -79.37843   ]
 [   2.1824393     6.8080945 ]
 [  12.574457     15.954799  ]
 [  18.932365     22.458744  ]
 [ -46.83409     -43.163113  ]
 [   9.716498     10.598709  ]
 [ -18.718678    -14.318837  ]
 [  14.525803     17.414223  ]
 [ -10.165627     -7.592476  ]
 [   0.33008713    3.4236941 ]
 [ -14.390125    -12.462177  ]
 [   2.9645274     4.047693  ]
 [ -10.9594755    -7.3475075 ]
 [  -3.54572      -3.3662896 ]
 [  -0.4584328     1.9008722 ]
 [ -12.174437    -10.380291  ]
 [   1.2470607     2.0036285 ]
 [  -4.6974106    -3.086484  ]]","[[-172.696      -226.03485   ]
 [   9.000517     13.063381  ]
 [-108.51715    -105.36316   ]
 [  21.276123     24.923185  ]
 [ -13.219203     -9.008001  ]
 [  10.735304     14.69404   ]
 [ -33.54136     -30.96074   ]
 [  -1.3772873     1.5956523 ]
 [ -12.73441      -9.140178  ]
 [  15.834363     19.580734  ]
 [ -16.847698    -13.933416  ]
 [  -4.2748857    -1.6236893 ]
 [  -5.10845      -2.628858  ]
 [  -3.8923328    -1.0740978 ]
 [  -3.7221432    -1.5680993 ]
 [  -7.4262805    -5.739811  ]
 [  -9.24544      -7.4442377 ]
 [  -0.6283322     0.59744537]
 [ -11.372135     -9.271452  ]
 [   3.033983      4.4114323 ]]"
-10,45,[-0.00253968 -0.00927438],[-11.08199239  -0.81352323],[-11.60862327  -5.7671082 ],[-0.01160998 -0.00580499  0.01741497],"[[-293.61365    -339.57916   ]
 [  44.482117     45.29458   ]
 [ -83.65927     -80.35293   ]
 [   3.6246912     8.614044  ]
 [  13.7856865    16.493889  ]
 [  16.887005     20.758469  ]
 [ -48.63108     -44.893333  ]
 [  11.786949     12.192966  ]
 [ -18.159512    -13.215628  ]
 [  13.670061     16.463804  ]
 [  -8.713619     -6.5691037 ]
 [  -2.0388148     1.5803485 ]
 [ -12.968301    -11.528715  ]
 [   1.807251      2.966445  ]
 [ -10.443682     -6.5613875 ]
 [  -1.8863752    -1.9579995 ]
 [  -2.8072166    -0.45710993]
 [ -11.003279     -8.878309  ]
 [   2.142089      2.380775  ]
 [  -7.2700253    -5.320916  ]]","[[-171.58466    -225.1094    ]
 [   9.89237      14.143622  ]
 [-108.96103    -105.77897   ]
 [  21.46411      25.182568  ]
 [ -14.348621    -10.040667  ]
 [  10.593789     14.584692  ]
 [ -32.83875     -30.129871  ]
 [  -2.5400941     0.5008646 ]
 [ -11.336147     -7.66704   ]
 [  14.205963     17.96956   ]
 [ -17.124933    -14.175486  ]
 [  -4.857574     -2.0749068 ]
 [  -2.0140224     0.6551588 ]
 [  -7.5936804    -4.7898035 ]
 [  -1.5965695     0.64234364]
 [  -8.735816     -6.950611  ]
 [  -8.642182     -6.816599  ]
 [  -1.0323765     0.3330142 ]
 [ -11.913952     -9.816914  ]
 [   4.466371      5.9993773 ]]"
