Elevation,Azimuth,ITD,ILD,Spectral ILD,Spectral ITD,Left MFCC,Right MFCC
50,0,[-0.00292517 -0.01015873],[-0.08157214  1.80111557],[-0.088456    0.35529964],[-0.00580499 -0.00580499 -0.00580499],"[[-1.9852385e+02 -2.5093941e+02]
 [-1.5749237e+01 -1.1597662e+01]
 [-9.2280632e+01 -8.9254440e+01]
 [ 2.0438763e+01  2.4159065e+01]
 [-1.1332853e+01 -6.6225958e+00]
 [ 2.0728777e+01  2.5239330e+01]
 [-1.0651951e+01 -7.2512765e+00]
 [-1.5719344e+01 -1.2171675e+01]
 [ 9.3239231e+00  1.3030047e+01]
 [-2.3268857e+00  9.5631009e-01]
 [-1.3287465e+01 -1.0640478e+01]
 [-1.0371401e+00  1.1432490e+00]
 [-1.9310139e+01 -1.7189705e+01]
 [ 6.6839714e+00  9.0677547e+00]
 [-1.1397651e+01 -8.9198189e+00]
 [-1.9943349e+00  8.5305691e-02]
 [-8.1236343e+00 -6.2783613e+00]
 [-5.5716357e+00 -3.8934379e+00]
 [-3.0623353e+00 -1.1511672e+00]
 [-3.3962283e+00 -1.7085643e+00]]","[[-2.0878471e+02 -2.6081598e+02]
 [ 3.9441214e+00  7.9079533e+00]
 [-1.0943210e+02 -1.0575882e+02]
 [ 3.7621410e+01  4.1242825e+01]
 [-2.5633389e+01 -2.0425549e+01]
 [ 2.9907600e+01  3.4527702e+01]
 [-1.7746658e+01 -1.3809735e+01]
 [-8.4109344e+00 -4.7585716e+00]
 [ 2.7931385e+00  6.6671848e+00]
 [-1.2406677e-02  3.3644285e+00]
 [-1.7503986e+01 -1.4978752e+01]
 [-1.4232826e-01  2.3613009e+00]
 [-1.4394218e+01 -1.2060631e+01]
 [ 6.7594993e-01  3.2971158e+00]
 [-6.9764643e+00 -4.4964828e+00]
 [-6.9724970e+00 -4.9086857e+00]
 [-4.1614261e+00 -1.9916911e+00]
 [-7.4622664e+00 -5.6564970e+00]
 [-2.2544022e+00  3.4631222e-02]
 [-2.5583742e+00 -1.0655335e+00]]"
50,8,[-0.00287982 -0.01013605],[-2.36468136  0.46591043],[-2.43085459 -0.9217903 ],[-0.00580499 -0.00580499 -0.00580499],"[[-208.55972    -260.38245   ]
 [  -9.176001     -5.1585727 ]
 [ -98.2041      -94.96507   ]
 [  26.08685      29.752712  ]
 [ -10.677547     -6.0606365 ]
 [  19.109043     23.759003  ]
 [  -6.9034276    -3.5945425 ]
 [ -18.16042     -14.509071  ]
 [  10.381713     13.9055195 ]
 [  -2.173512      1.1381557 ]
 [ -14.183063    -11.617102  ]
 [  -1.2833866     0.71883774]
 [ -19.264902    -17.083534  ]
 [   7.1042614     9.260237  ]
 [ -12.055561     -9.504807  ]
 [  -1.3402517     0.64930713]
 [  -7.9517484    -6.001889  ]
 [  -4.20959      -2.4402828 ]
 [  -3.74789      -1.9439523 ]
 [  -3.4279814    -1.7411371 ]]","[[-1.9594484e+02 -2.4831758e+02]
 [-2.4722562e+00  1.5697870e+00]
 [-1.1224428e+02 -1.0876916e+02]
 [ 4.0741554e+01  4.4326778e+01]
 [-2.6714813e+01 -2.1769188e+01]
 [ 2.7114761e+01  3.1581951e+01]
 [-1.5242401e+01 -1.1378974e+01]
 [-1.0048882e+01 -6.5864463e+00]
 [ 2.9054885e+00  6.7381201e+00]
 [ 1.4694064e+00  4.6916480e+00]
 [-1.7801029e+01 -1.5262944e+01]
 [-7.1560538e-01  1.6094590e+00]
 [-1.3204767e+01 -1.0823194e+01]
 [ 1.2482886e+00  3.7337883e+00]
 [-6.9589653e+00 -4.4818497e+00]
 [-7.3154993e+00 -5.4755745e+00]
 [-4.6210842e+00 -2.6733515e+00]
 [-6.5875010e+00 -4.9033346e+00]
 [-3.5926800e+00 -1.5108262e+00]
 [-1.3256832e+00  1.4019918e-01]]"
50,16,[-0.00285714 -0.0100907 ],[-4.38716292 -1.52288646],[-4.50959057 -2.23709464],[-0.00580499 -0.00580499 -0.00580499],"[[-220.85475    -272.2112    ]
 [  -2.1140356     1.9789839 ]
 [-100.078735    -96.59688   ]
 [  27.798779     31.581764  ]
 [ -10.198249     -5.363     ]
 [  20.110992     24.922684  ]
 [  -7.208967     -3.7066903 ]
 [ -18.164442    -14.402483  ]
 [   9.770575     13.380289  ]
 [  -2.8399496     0.5660263 ]
 [ -14.228708    -11.524377  ]
 [  -1.5141339     0.54661316]
 [ -19.774445    -17.475777  ]
 [   6.8342333     9.091383  ]
 [ -12.044054     -9.311859  ]
 [  -0.9521431     1.2001783 ]
 [  -7.7894106    -5.5413585 ]
 [  -4.015334     -2.0967023 ]
 [  -3.8233838    -1.8688402 ]
 [  -4.168025     -2.4266696 ]]","[[-186.08289    -238.71764   ]
 [  -8.367731     -4.2153015 ]
 [-110.674995   -107.21304   ]
 [  39.41291      43.089527  ]
 [ -27.79982     -22.816303  ]
 [  27.245354     31.717129  ]
 [ -17.414001    -13.493858  ]
 [  -8.480458     -4.989805  ]
 [   0.8405974     4.7513623 ]
 [   2.3819222     5.666135  ]
 [ -18.054731    -15.388924  ]
 [  -0.57549715    1.8502634 ]
 [ -13.391483    -10.873655  ]
 [   1.6290095     4.250558  ]
 [  -7.1896524    -4.608873  ]
 [  -7.3426566    -5.439478  ]
 [  -5.339105     -3.3589268 ]
 [  -6.6560216    -4.968998  ]
 [  -4.3743033    -2.2774587 ]
 [  -1.2019801     0.37865865]]"
50,24,[-0.00281179 -0.01004535],[-6.18024349 -2.15938345],[-6.36247277 -3.08689564],[-0.01160998 -0.00580499 -0.00580499],"[[-232.5424     -283.4129    ]
 [   4.5394955     8.656958  ]
 [-101.39682     -97.79358   ]
 [  29.706371     33.62892   ]
 [  -9.361729     -4.465567  ]
 [  21.02211      25.994291  ]
 [  -7.784767     -4.3582916 ]
 [ -18.016453    -14.051624  ]
 [   8.569036     11.992315  ]
 [  -2.733213      0.8505846 ]
 [ -14.403784    -11.739011  ]
 [  -1.4736046     0.64257115]
 [ -20.425827    -18.047638  ]
 [   7.278619      9.585037  ]
 [ -11.8389435    -8.93692   ]
 [  -0.42827773    1.7703457 ]
 [  -7.807826     -5.343317  ]
 [  -3.4735231    -1.5138841 ]
 [  -4.0916524    -2.1852624 ]
 [  -4.9142075    -3.0868537 ]]","[[-177.69402    -230.55647   ]
 [ -12.576872     -8.358972  ]
 [-109.34018    -105.85628   ]
 [  38.496674     42.228714  ]
 [ -28.128208    -23.097118  ]
 [  27.655502     32.14228   ]
 [ -19.366005    -15.418651  ]
 [  -6.741011     -3.2167885 ]
 [  -0.6378099     3.3186474 ]
 [   2.9425707     6.269585  ]
 [ -18.020622    -15.264185  ]
 [   0.30294165    2.8336558 ]
 [ -13.850166    -11.219905  ]
 [   2.800137      5.532263  ]
 [  -7.8060484    -5.144872  ]
 [  -6.3371305    -4.3811574 ]
 [  -6.3903217    -4.3736725 ]
 [  -5.6662283    -3.969356  ]
 [  -5.266501     -3.1823084 ]
 [  -0.88577783    0.736212  ]]"
50,32,[-0.00276644 -0.01      ],[-7.63411105 -2.23574981],[-7.87710488 -3.63114715],[-0.01160998  0.         -0.00580499],"[[-2.4348106e+02 -2.9397717e+02]
 [ 1.0475913e+01  1.4693056e+01]
 [-1.0231100e+02 -9.8715988e+01]
 [ 3.1828571e+01  3.5755436e+01]
 [-8.8159103e+00 -3.8242812e+00]
 [ 2.1606825e+01  2.6405685e+01]
 [-8.8560772e+00 -5.3765764e+00]
 [-1.8484676e+01 -1.4728510e+01]
 [ 7.4014502e+00  1.0887418e+01]
 [-2.7512159e+00  7.0565420e-01]
 [-1.4350651e+01 -1.1703283e+01]
 [-2.2664118e+00 -1.6154909e-01]
 [-2.0635296e+01 -1.8255360e+01]
 [ 7.9392853e+00  1.0366367e+01]
 [-1.1853317e+01 -9.0282440e+00]
 [-9.2388064e-02  2.2140994e+00]
 [-8.4045372e+00 -5.9589529e+00]
 [-2.3203182e+00 -4.5720524e-01]
 [-5.4951839e+00 -3.6536095e+00]
 [-5.2640729e+00 -3.5734677e+00]]","[[-1.71530426e+02 -2.24667984e+02]
 [-1.49058924e+01 -1.05998917e+01]
 [-1.08656685e+02 -1.05223320e+02]
 [ 3.75562897e+01  4.13233643e+01]
 [-2.82378120e+01 -2.32168159e+01]
 [ 2.81227760e+01  3.26054916e+01]
 [-2.14367714e+01 -1.75032864e+01]
 [-5.28256893e+00 -1.80893588e+00]
 [-1.83801651e+00  2.16332197e+00]
 [ 3.18449831e+00  6.45223284e+00]
 [-1.83472595e+01 -1.55201044e+01]
 [ 1.58662653e+00  4.16615200e+00]
 [-1.44559345e+01 -1.17224140e+01]
 [ 3.76597142e+00  6.54375648e+00]
 [-8.29302692e+00 -5.58618259e+00]
 [-5.57505512e+00 -3.58348179e+00]
 [-7.05059052e+00 -5.03052139e+00]
 [-5.10981560e+00 -3.39197111e+00]
 [-5.46050930e+00 -3.42676330e+00]
 [-1.50728142e+00  8.48496258e-02]]"
50,40,[-0.00272109 -0.00997732],[-8.74159694 -2.8185904 ],[-9.03773963 -4.18660581],[-0.01160998  0.         -0.00580499],"[[-2.5214621e+02 -3.0178250e+02]
 [ 1.4579742e+01  1.8536201e+01]
 [-1.0144537e+02 -9.7305603e+01]
 [ 3.3946239e+01  3.7831207e+01]
 [-8.6163387e+00 -3.5590472e+00]
 [ 2.2840778e+01  2.7989017e+01]
 [-1.1382296e+01 -8.3032885e+00]
 [-1.7599915e+01 -1.3308426e+01]
 [ 5.8511262e+00  8.9431877e+00]
 [-1.7113106e+00  2.2559323e+00]
 [-1.4243683e+01 -1.1817883e+01]
 [-3.6356130e+00 -1.2807292e+00]
 [-1.8722704e+01 -1.6019386e+01]
 [ 7.6319809e+00  1.0018099e+01]
 [-1.0520166e+01 -7.2127342e+00]
 [-1.0679605e+00  9.9061811e-01]
 [-7.6618786e+00 -4.8458767e+00]
 [-1.5174716e+00  1.1248791e-01]
 [-7.6033344e+00 -5.6593838e+00]
 [-3.9114363e+00 -2.1371386e+00]]","[[-167.15402   -220.4095   ]
 [ -15.958057   -11.485865 ]
 [-108.05688   -104.5065   ]
 [  36.260212    40.16259  ]
 [ -27.760885   -22.60519  ]
 [  28.564457    33.18233  ]
 [ -23.257841   -19.235415 ]
 [  -4.2542086   -0.6821437]
 [  -2.6024039    1.5277929]
 [   3.2288916    6.594511 ]
 [ -18.766071   -15.794034 ]
 [   2.6764808    5.448324 ]
 [ -14.529803   -11.58331  ]
 [   4.142956     7.071205 ]
 [  -8.594059    -5.748705 ]
 [  -4.921536    -2.7833226]
 [  -7.6346054   -5.4919357]
 [  -4.623617    -2.7777958]
 [  -5.5171833   -3.4088504]
 [  -2.1912217   -0.5610316]]"
50,48,[-0.00267574 -0.01056689],[-9.57789779 -4.40979123],[-9.90790844 -4.99122232],[-0.01741497  0.         -0.00580499],"[[-260.5474     -309.96335   ]
 [  18.916466     22.598343  ]
 [-100.94695     -96.74635   ]
 [  36.0337       39.46235   ]
 [  -9.022137     -3.9266844 ]
 [  22.374443     27.017914  ]
 [ -13.328214    -10.160732  ]
 [ -17.939468    -14.215966  ]
 [   5.6239643     8.721827  ]
 [  -1.8140564     1.7880547 ]
 [ -14.563129    -12.277618  ]
 [  -4.63755      -2.500077  ]
 [ -17.219242    -14.589605  ]
 [   7.8940387    10.248949  ]
 [ -11.210955     -8.004954  ]
 [  -0.93843496    0.7674916 ]
 [  -7.835753     -5.066482  ]
 [  -1.6211565    -0.47538674]
 [  -8.973352     -6.9633102 ]
 [  -3.3210447    -2.1013849 ]]","[[-1.6514282e+02 -2.1868489e+02]
 [-1.5322554e+01 -1.1010319e+01]
 [-1.0834631e+02 -1.0497565e+02]
 [ 3.5151104e+01  3.8878490e+01]
 [-2.7866491e+01 -2.2866705e+01]
 [ 2.9595009e+01  3.4041317e+01]
 [-2.5667850e+01 -2.1857044e+01]
 [-3.2522259e+00  1.3037187e-01]
 [-3.7346458e+00  2.0385425e-01]
 [ 3.4369755e+00  6.6189909e+00]
 [-1.9562561e+01 -1.6747696e+01]
 [ 3.5094800e+00  6.1834383e+00]
 [-1.4580635e+01 -1.1717606e+01]
 [ 4.4778132e+00  7.2699308e+00]
 [-9.4752979e+00 -6.7881212e+00]
 [-4.0640254e+00 -2.0410073e+00]
 [-8.3175602e+00 -6.3225012e+00]
 [-4.4677258e+00 -2.7607522e+00]
 [-5.3775740e+00 -3.4291596e+00]
 [-3.0961151e+00 -1.6798831e+00]]"
50,56,[-0.00265306 -0.01052154],[-10.30128956  -5.61184585],[-10.64926386  -5.60106158],[-0.01741497  0.         -0.00580499],"[[-2.66670441e+02 -3.15696899e+02]
 [ 2.22990761e+01  2.58296890e+01]
 [-9.89695435e+01 -9.44864960e+01]
 [ 3.80191078e+01  4.12260590e+01]
 [-1.04641314e+01 -5.21432304e+00]
 [ 2.27415161e+01  2.71060638e+01]
 [-1.59027023e+01 -1.24507055e+01]
 [-1.57826128e+01 -1.23890762e+01]
 [ 4.79267025e+00  8.07412338e+00]
 [-1.16708636e+00  2.25363874e+00]
 [-1.48841343e+01 -1.24592648e+01]
 [-4.58330345e+00 -2.50525308e+00]
 [-1.46286545e+01 -1.19323559e+01]
 [ 6.66985607e+00  9.24695015e+00]
 [-1.01104774e+01 -7.03696156e+00]
 [-1.42858016e+00  2.53186643e-01]
 [-7.46612072e+00 -4.83480072e+00]
 [-1.70827675e+00 -5.34515023e-01]
 [-9.40887833e+00 -7.44790506e+00]
 [-2.00281668e+00 -8.42164934e-01]]","[[-164.82213    -218.50972   ]
 [ -13.377335     -9.093061  ]
 [-108.73746    -105.3852    ]
 [  34.24417      37.92263   ]
 [ -28.07893     -23.065786  ]
 [  31.113224     35.51075   ]
 [ -27.869919    -24.0944    ]
 [  -2.5479574     0.76014864]
 [  -4.4830804    -0.57806444]
 [   3.4496708     6.561959  ]
 [ -19.799965    -16.963728  ]
 [   3.801929      6.4778876 ]
 [ -14.267593    -11.348619  ]
 [   4.847514      7.6230154 ]
 [ -10.287992     -7.6117244 ]
 [  -3.557661     -1.5533518 ]
 [  -8.16213      -6.1435    ]
 [  -4.957321     -3.3083313 ]
 [  -4.7923203    -2.8382037 ]
 [  -3.870695     -2.55519   ]]"
50,64,[-0.00260771 -0.01011338],[-10.97103119  -6.31772161],[-11.31937981  -6.08331561],[-0.01160998 -0.01160998 -0.04643991],"[[-271.5713    -320.27887  ]
 [  25.239279    28.899876 ]
 [ -96.97131    -92.26611  ]
 [  38.932953    42.145287 ]
 [ -13.179362    -7.7307615]
 [  22.864386    27.146673 ]
 [ -17.851513   -14.076802 ]
 [ -13.313196   -10.011968 ]
 [   3.0989747    6.6599646]
 [  -0.9757303    2.4002466]
 [ -15.167809   -12.511508 ]
 [  -3.6251583   -1.4436524]
 [ -13.7583885  -10.858667 ]
 [   5.5542407    8.243615 ]
 [  -9.063769    -5.801545 ]
 [  -2.7057755   -1.1418058]
 [  -7.0610914   -4.1493764]
 [  -2.0730276   -1.0144887]
 [  -9.286991    -6.8630476]
 [  -1.8583332   -0.8640504]]","[[-166.03957    -219.755     ]
 [ -10.342602     -6.165474  ]
 [-109.48384    -106.01336   ]
 [  33.809177     37.35257   ]
 [ -28.683565    -23.537178  ]
 [  33.040802     37.319733  ]
 [ -29.761211    -25.89311   ]
 [  -2.1449676     0.99854195]
 [  -4.959915     -0.9783877 ]
 [   3.3768616     6.346866  ]
 [ -19.696182    -16.713562  ]
 [   4.1013656     6.6990747 ]
 [ -14.226112    -11.1580515 ]
 [   5.643112      8.337978  ]
 [ -11.156332     -8.378977  ]
 [  -3.230015     -1.341036  ]
 [  -7.7613096    -5.586278  ]
 [  -5.217471     -3.7083607 ]
 [  -4.8066006    -2.7465296 ]
 [  -3.854782     -2.6832633 ]]"
50,72,[-0.00258503 -0.01011338],[-11.47296786  -6.3766849 ],[-11.81524754  -6.33701384],[-0.01741497 -0.01160998 -0.04643991],"[[-2.7438812e+02 -3.2313528e+02]
 [ 2.7958942e+01  3.1260740e+01]
 [-9.4488983e+01 -9.0071686e+01]
 [ 3.9192619e+01  4.1953255e+01]
 [-1.6290577e+01 -1.1166346e+01]
 [ 2.4799332e+01  2.8648376e+01]
 [-1.8908115e+01 -1.5464878e+01]
 [-1.0363932e+01 -7.4401636e+00]
 [ 7.8565645e-01  4.0407124e+00]
 [ 4.8593909e-02  3.0452220e+00]
 [-1.3904837e+01 -1.1550098e+01]
 [-2.9561062e+00 -1.0479856e+00]
 [-1.2794319e+01 -1.0221706e+01]
 [ 4.9355288e+00  7.2440586e+00]
 [-7.4401989e+00 -4.5354128e+00]
 [-4.0277138e+00 -2.7821317e+00]
 [-5.6126261e+00 -3.1458163e+00]
 [-2.3650076e+00 -1.4796877e+00]
 [-8.3652391e+00 -6.2198172e+00]
 [-1.3850520e+00 -6.9768560e-01]]","[[-168.76419   -222.7238   ]
 [  -6.1234255   -2.1836054]
 [-110.755066  -107.5011   ]
 [  34.122604    37.398247 ]
 [ -29.771347   -24.845592 ]
 [  35.252117    39.30095  ]
 [ -31.323149   -27.690113 ]
 [  -1.8522136    0.9966493]
 [  -5.421585    -1.7008796]
 [   3.488897     6.2143087]
 [ -19.576485   -16.772102 ]
 [   4.7149057    7.1138196]
 [ -14.632451   -11.748993 ]
 [   6.6801414    9.184582 ]
 [ -11.883586    -9.319399 ]
 [  -3.0250945   -1.3665515]
 [  -7.462468    -5.4334745]
 [  -4.9918823   -3.708722 ]
 [  -5.2833166   -3.4337401]
 [  -3.5797222   -2.6215844]]"
