Elevation,Azimuth,ITD,ILD,Spectral ILD,Spectral ITD,Left MFCC,Right MFCC
70,0,[-0.00292517 -0.01018141],[0.20237273 1.82307526],[0.21168148 0.4518833 ],[-0.00580499 -0.00580499 -0.00580499],"[[-209.95045    -260.9289    ]
 [ -13.208762     -9.05834   ]
 [ -83.19113     -80.39505   ]
 [  14.994692     19.027977  ]
 [ -10.871635     -5.877515  ]
 [  26.468334     30.771519  ]
 [ -26.102993    -22.610153  ]
 [  -0.50358367    3.2103488 ]
 [   0.55527556    4.3449383 ]
 [  -1.3386992     2.1616824 ]
 [  -6.357701     -3.1596384 ]
 [  -5.342414     -3.0439634 ]
 [ -15.599082    -13.603043  ]
 [   0.49663398    2.9756527 ]
 [  -7.0770273    -4.6588907 ]
 [  -5.8439436    -3.9577897 ]
 [  -6.5163665    -4.4855385 ]
 [  -4.657135     -2.8003206 ]
 [  -5.21179      -3.3157527 ]
 [  -2.397198     -0.7970313 ]]","[[-215.86295   -266.79074  ]
 [   1.9658915    6.013046 ]
 [ -95.39807    -92.34863  ]
 [  24.950932    28.812328 ]
 [ -18.922264   -13.938652 ]
 [  29.755955    33.99357  ]
 [ -30.008972   -26.326641 ]
 [   5.2701297    8.786478 ]
 [  -6.599471    -2.873796 ]
 [   3.905532     7.2143497]
 [ -14.661005   -11.717871 ]
 [  -1.0991462    1.0505188]
 [ -17.076448   -14.931567 ]
 [   1.7073455    4.067788 ]
 [  -8.728217    -6.2924185]
 [  -4.900571    -3.0717058]
 [  -7.4765043   -5.566037 ]
 [  -5.794521    -4.0111156]
 [  -3.9955237   -2.0713673]
 [  -2.962716    -1.3828039]]"
70,15,[-0.00287982 -0.01036281],[-1.33356109 -0.70902951],[-1.36726081 -1.13203727],[-0.00580499 -0.00580499 -0.00580499],"[[-219.73459    -270.49884   ]
 [  -8.102545     -4.04276   ]
 [ -84.1793      -81.50192   ]
 [  18.041523     21.926779  ]
 [ -11.465706     -6.5513163 ]
 [  28.403475     32.58097   ]
 [ -25.603424    -22.302952  ]
 [  -1.3191124     2.1824033 ]
 [   1.492595      5.202649  ]
 [  -1.0233458     2.299843  ]
 [  -6.6775074    -3.7686276 ]
 [  -5.2871704    -3.0934956 ]
 [ -15.183065    -13.322115  ]
 [   0.32453454    2.4713078 ]
 [  -7.3611765    -5.1150517 ]
 [  -5.307473     -3.482431  ]
 [  -5.867302     -3.9680953 ]
 [  -3.9913645    -2.1897018 ]
 [  -5.0396147    -3.1770449 ]
 [  -1.7523763    -0.30112624]]","[[-206.88782    -258.17337   ]
 [  -1.4462181     2.3455682 ]
 [ -93.90207     -91.24874   ]
 [  22.804947     26.509571  ]
 [ -17.94425     -13.114887  ]
 [  28.730871     32.618034  ]
 [ -30.261642    -26.78275   ]
 [   6.5748835     9.983444  ]
 [  -7.152917     -3.7197042 ]
 [   4.3536153     7.464444  ]
 [ -13.930014    -11.0485935 ]
 [  -0.46994418    1.4653516 ]
 [ -17.091171    -15.1700325 ]
 [   2.6329198     4.954057  ]
 [  -8.076082     -5.744052  ]
 [  -4.425194     -2.8990183 ]
 [  -7.9255495    -6.2138405 ]
 [  -5.486225     -3.922611  ]
 [  -3.712519     -2.119181  ]
 [  -3.5004923    -2.1511989 ]]"
70,30,[-0.00283447 -0.01031746],[-2.66751051 -2.57271171],[-2.7413252  -2.49973297],[-0.01160998 -0.00580499  0.00580499],"[[-2.2939368e+02 -2.7959952e+02]
 [-3.7071638e+00  4.7355482e-01]
 [-8.5323593e+01 -8.2406403e+01]
 [ 2.0844969e+01  2.4890135e+01]
 [-1.2448410e+01 -7.2760305e+00]
 [ 2.9723631e+01  3.3989021e+01]
 [-2.6283140e+01 -2.2814075e+01]
 [-2.2510438e+00  1.3619170e+00]
 [ 1.4814544e+00  5.2935047e+00]
 [-9.2247140e-01  2.5795093e+00]
 [-7.7400575e+00 -4.7128859e+00]
 [-5.5819006e+00 -3.2805448e+00]
 [-1.5139421e+01 -1.3148056e+01]
 [-2.1100868e-01  2.1124322e+00]
 [-7.7181568e+00 -5.3816037e+00]
 [-5.4625163e+00 -3.5113862e+00]
 [-5.2983313e+00 -3.0723085e+00]
 [-3.8796391e+00 -1.8995403e+00]
 [-5.2744722e+00 -3.2671113e+00]
 [-2.0756221e+00 -5.6586140e-01]]","[[-2.0025931e+02 -2.5150476e+02]
 [-3.9892614e+00  9.0328485e-02]
 [-9.3248032e+01 -9.0435745e+01]
 [ 2.0632862e+01  2.4606846e+01]
 [-1.7317574e+01 -1.2068891e+01]
 [ 2.7535309e+01  3.1648190e+01]
 [-3.1169802e+01 -2.7455559e+01]
 [ 7.1153240e+00  1.0829100e+01]
 [-8.1548023e+00 -4.3626447e+00]
 [ 4.3369608e+00  7.7033420e+00]
 [-1.3937633e+01 -1.0731589e+01]
 [-3.4789792e-01  1.9276068e+00]
 [-1.7140331e+01 -1.4862635e+01]
 [ 2.7235155e+00  5.3702488e+00]
 [-7.8734593e+00 -5.1742868e+00]
 [-4.1388903e+00 -2.3010848e+00]
 [-8.8061447e+00 -6.8514938e+00]
 [-5.6002274e+00 -3.8606558e+00]
 [-3.5465367e+00 -1.6515889e+00]
 [-4.5440969e+00 -2.9788408e+00]]"
70,45,[-0.00281179 -0.01029478],[-3.699314   -3.03677976],[-3.80821109 -3.34600419],[-0.01160998 -0.00580499  0.00580499],"[[-2.3749284e+02 -2.8749634e+02]
 [ 2.0224763e-01  4.2271371e+00]
 [-8.5700668e+01 -8.2820618e+01]
 [ 2.3663998e+01  2.7516380e+01]
 [-1.3458869e+01 -8.4330578e+00]
 [ 3.0849541e+01  3.4919907e+01]
 [-2.7330746e+01 -2.4011101e+01]
 [-2.4220414e+00  9.1853762e-01]
 [ 1.3066308e+00  4.9222307e+00]
 [-4.1147280e-01  2.9416640e+00]
 [-8.7573280e+00 -5.9055028e+00]
 [-5.4574747e+00 -3.4521272e+00]
 [-1.4838181e+01 -1.3023375e+01]
 [-3.8116026e-01  1.8969733e+00]
 [-7.7807302e+00 -5.6569319e+00]
 [-5.4418569e+00 -3.6963987e+00]
 [-4.4269199e+00 -2.2068172e+00]
 [-3.7782378e+00 -1.8556316e+00]
 [-5.6766205e+00 -3.9658461e+00]
 [-2.3555202e+00 -1.0809232e+00]]","[[-1.9612006e+02 -2.4774486e+02]
 [-4.6383896e+00 -6.5224850e-01]
 [-9.3053192e+01 -9.0495834e+01]
 [ 1.9212776e+01  2.3028061e+01]
 [-1.6880009e+01 -1.1880529e+01]
 [ 2.7149141e+01  3.1162252e+01]
 [-3.1973679e+01 -2.8499508e+01]
 [ 7.4061966e+00  1.0914825e+01]
 [-8.9037828e+00 -5.3133574e+00]
 [ 4.4554415e+00  7.7072296e+00]
 [-1.3944759e+01 -1.0999310e+01]
 [-2.2873901e-01  1.9943435e+00]
 [-1.6791084e+01 -1.4612795e+01]
 [ 2.9739697e+00  5.5066910e+00]
 [-8.0842991e+00 -5.6094637e+00]
 [-3.4429469e+00 -1.6065404e+00]
 [-9.3790321e+00 -7.6152382e+00]
 [-5.8157344e+00 -4.3222408e+00]
 [-3.1108825e+00 -1.3880627e+00]
 [-5.3961363e+00 -3.9471149e+00]]"
70,60,[-0.00276644 -0.01      ],[-4.421103   -2.92046398],[-4.55026507 -3.73474926],[-0.01160998  0.          0.00580499],"[[-2.4369353e+02 -2.9327841e+02]
 [ 3.1712408e+00  7.3241348e+00]
 [-8.5790810e+01 -8.2483749e+01]
 [ 2.5754555e+01  2.9654858e+01]
 [-1.4864805e+01 -9.6011200e+00]
 [ 3.1468361e+01  3.5664612e+01]
 [-2.8751572e+01 -2.5127832e+01]
 [-2.0131884e+00  1.3153381e+00]
 [ 6.0723186e-01  4.5516014e+00]
 [-9.6045196e-02  3.3545864e+00]
 [-9.9984484e+00 -6.9084926e+00]
 [-5.0974407e+00 -3.1332667e+00]
 [-1.4741600e+01 -1.2546862e+01]
 [-6.7072558e-01  1.6948876e+00]
 [-7.9743066e+00 -5.5454607e+00]
 [-5.4203329e+00 -3.6211190e+00]
 [-3.8539557e+00 -1.2352839e+00]
 [-4.1747851e+00 -2.2132154e+00]
 [-6.3351884e+00 -4.4149384e+00]
 [-2.4202123e+00 -1.0864829e+00]]","[[-1.9463258e+02 -2.4634056e+02]
 [-3.8711076e+00  1.5581332e-01]
 [-9.3575089e+01 -9.0881790e+01]
 [ 1.8374704e+01  2.2204273e+01]
 [-1.7256535e+01 -1.2247240e+01]
 [ 2.7469795e+01  3.1563797e+01]
 [-3.3076164e+01 -2.9482800e+01]
 [ 7.3044691e+00  1.0768984e+01]
 [-9.7879457e+00 -6.1777792e+00]
 [ 4.4828153e+00  7.8199449e+00]
 [-1.4303331e+01 -1.1296011e+01]
 [-1.1732654e-01  2.1844480e+00]
 [-1.6801674e+01 -1.4434753e+01]
 [ 3.5940344e+00  6.1970024e+00]
 [-9.0042076e+00 -6.4831972e+00]
 [-2.8357167e+00 -9.1246331e-01]
 [-9.7817659e+00 -7.8878508e+00]
 [-6.0528450e+00 -4.5580668e+00]
 [-3.1222119e+00 -1.3713799e+00]
 [-5.7396302e+00 -4.3180413e+00]]"
70,75,[-0.00274376 -0.00956916],[-4.7893849  -3.02479953],[-4.92090255 -3.90737653],[-0.00580499  0.         -0.06965986],"[[-2.47590179e+02 -2.97265930e+02]
 [ 5.99276257e+00  1.01118040e+01]
 [-8.55254669e+01 -8.23562012e+01]
 [ 2.72384071e+01  3.09438839e+01]
 [-1.58905954e+01 -1.09986534e+01]
 [ 3.22793541e+01  3.64869232e+01]
 [-2.96761398e+01 -2.63732071e+01]
 [-8.47455621e-01  2.40988684e+00]
 [ 1.60357133e-01  3.79935646e+00]
 [ 2.36269683e-01  3.65215945e+00]
 [-1.04040632e+01 -7.75266743e+00]
 [-4.08399773e+00 -2.12128186e+00]
 [-1.44125595e+01 -1.24589748e+01]
 [-6.88553572e-01  1.57424331e+00]
 [-7.60099697e+00 -5.46763992e+00]
 [-5.04533958e+00 -3.15237927e+00]
 [-3.10139990e+00 -8.02724361e-01]
 [-4.63478184e+00 -2.88037324e+00]
 [-6.17021751e+00 -4.45206022e+00]
 [-2.06979322e+00 -6.95542336e-01]]","[[-1.9553621e+02 -2.4739067e+02]
 [-1.2313683e+00  2.7756684e+00]
 [-9.4322861e+01 -9.1577164e+01]
 [ 1.8598795e+01  2.2325901e+01]
 [-1.7884773e+01 -1.2937143e+01]
 [ 2.8790768e+01  3.2921616e+01]
 [-3.3883469e+01 -3.0294529e+01]
 [ 7.3735943e+00  1.0704882e+01]
 [-1.0210823e+01 -6.6143646e+00]
 [ 4.8455935e+00  8.1523418e+00]
 [-1.4402308e+01 -1.1441715e+01]
 [ 4.9738595e-01  2.8235493e+00]
 [-1.6830799e+01 -1.4380125e+01]
 [ 4.8162918e+00  7.3750830e+00]
 [-9.8177109e+00 -7.3578091e+00]
 [-2.1574678e+00 -1.6557078e-01]
 [-9.6981888e+00 -7.7939234e+00]
 [-5.7760696e+00 -4.3753834e+00]
 [-3.3020048e+00 -1.5375313e+00]
 [-5.3623257e+00 -3.9905090e+00]]"
70,90,[-0.00274376 -0.01056689],[-4.76211935 -3.85759145],[-4.88889784 -3.83460104],[-0.00580499  0.          0.01741497],"[[-2.4928465e+02 -2.9895358e+02]
 [ 7.7997689e+00  1.1803024e+01]
 [-8.5613083e+01 -8.2494507e+01]
 [ 2.7351368e+01  3.0871822e+01]
 [-1.6620487e+01 -1.1844170e+01]
 [ 3.2969891e+01  3.6967789e+01]
 [-3.0641289e+01 -2.7358112e+01]
 [ 1.0239999e-01  3.2374582e+00]
 [-2.7327734e-01  3.2882047e+00]
 [ 1.1944196e-01  3.2585578e+00]
 [-1.0378210e+01 -7.7725563e+00]
 [-3.2343166e+00 -1.2675939e+00]
 [-1.4245195e+01 -1.2444580e+01]
 [-1.0984027e+00  1.0036445e+00]
 [-7.0251603e+00 -4.9460664e+00]
 [-5.1241961e+00 -3.2869616e+00]
 [-2.7982073e+00 -7.7324134e-01]
 [-5.1373243e+00 -3.5049000e+00]
 [-5.8484526e+00 -4.2765818e+00]
 [-1.8295906e+00 -5.0611222e-01]]","[[-1.98740326e+02 -2.50342300e+02]
 [ 2.36489725e+00  5.95177269e+00]
 [-9.57095184e+01 -9.25495758e+01]
 [ 1.94924259e+01  2.27667694e+01]
 [-1.91960316e+01 -1.38612795e+01]
 [ 3.04993706e+01  3.42146339e+01]
 [-3.49002876e+01 -3.09495583e+01]
 [ 7.41910458e+00  1.02584333e+01]
 [-1.08628197e+01 -6.91795158e+00]
 [ 5.20212841e+00  8.11532784e+00]
 [-1.47376633e+01 -1.14467697e+01]
 [ 1.23061085e+00  3.17194915e+00]
 [-1.72756538e+01 -1.43943357e+01]
 [ 5.92825508e+00  8.09276772e+00]
 [-1.07107983e+01 -7.94289970e+00]
 [-1.73082912e+00 -6.12958819e-02]
 [-9.86574554e+00 -7.66573715e+00]
 [-5.33511543e+00 -4.37592506e+00]
 [-3.88422251e+00 -1.76652598e+00]
 [-5.04912472e+00 -4.07694340e+00]]"
70,105,[-0.00274376 -0.01054422],[-4.29879069 -3.48747641],[-4.41842556 -3.51386547],[-0.00580499  0.          0.01741497],"[[-2.4903577e+02 -2.9857462e+02]
 [ 7.9670906e+00  1.2057896e+01]
 [-8.6246140e+01 -8.2915710e+01]
 [ 2.6121290e+01  2.9701883e+01]
 [-1.7528027e+01 -1.2573520e+01]
 [ 3.3712311e+01  3.7802048e+01]
 [-3.2368797e+01 -2.8839214e+01]
 [ 3.2726741e-01  3.5338511e+00]
 [-9.5825267e-01  2.8589196e+00]
 [-2.5911236e-01  2.9086223e+00]
 [-1.1001713e+01 -8.1478930e+00]
 [-2.8239665e+00 -6.6799331e-01]
 [-1.4606794e+01 -1.2504208e+01]
 [-1.8941046e+00  1.9254202e-01]
 [-7.2347975e+00 -4.8336191e+00]
 [-5.3664322e+00 -3.4176016e+00]
 [-3.8553643e+00 -1.6635206e+00]
 [-5.3550329e+00 -3.6778200e+00]
 [-6.2212658e+00 -4.2171674e+00]
 [-1.9781548e+00 -6.3721341e-01]]","[[-2.0388292e+02 -2.5555074e+02]
 [ 5.9896927e+00  9.5540190e+00]
 [-9.7426178e+01 -9.4431488e+01]
 [ 2.0161268e+01  2.3448345e+01]
 [-2.0909698e+01 -1.5786779e+01]
 [ 3.1819210e+01  3.5511208e+01]
 [-3.6293304e+01 -3.2575356e+01]
 [ 7.1359377e+00  9.9419518e+00]
 [-1.1792596e+01 -8.0757408e+00]
 [ 4.9796362e+00  7.8574176e+00]
 [-1.5256939e+01 -1.2122131e+01]
 [ 1.4722199e+00  3.4193969e+00]
 [-1.8121113e+01 -1.5446274e+01]
 [ 6.3244858e+00  8.5302620e+00]
 [-1.1772022e+01 -9.0916576e+00]
 [-1.7475588e+00 -2.1553890e-01]
 [-1.0523317e+01 -8.5121546e+00]
 [-5.1037645e+00 -4.0580449e+00]
 [-4.8387365e+00 -2.9707437e+00]
 [-5.0247927e+00 -4.0983324e+00]]"
70,120,[-0.00276644 -0.00904762],[-3.51114571 -2.25146651],[-3.61557126 -3.15214574],[-0.00580499  0.         -0.13351474],"[[-2.4684944e+02 -2.9650027e+02]
 [ 8.1981716e+00  1.2301563e+01]
 [-8.6849091e+01 -8.3636185e+01]
 [ 2.5235628e+01  2.8841747e+01]
 [-1.8060989e+01 -1.3123039e+01]
 [ 3.5359360e+01  3.9513340e+01]
 [-3.3585606e+01 -3.0092960e+01]
 [ 6.9051695e-01  3.8776603e+00]
 [-8.1244862e-01  2.9901223e+00]
 [ 2.4557014e-01  3.4881697e+00]
 [-1.1018203e+01 -8.2063417e+00]
 [-2.2380960e+00  2.3173600e-02]
 [-1.3977003e+01 -1.1909984e+01]
 [-2.1457942e+00 -1.3933659e-02]
 [-7.1139021e+00 -4.8159270e+00]
 [-5.3238020e+00 -3.3998141e+00]
 [-4.3362417e+00 -2.3213949e+00]
 [-5.5495615e+00 -3.7354956e+00]
 [-5.2754736e+00 -3.4208798e+00]
 [-2.4637041e+00 -1.0204495e+00]]","[[-209.45271   -260.8931   ]
 [   9.917599    13.738966 ]
 [ -97.97427    -95.06436  ]
 [  21.410408    25.22512  ]
 [ -21.542908   -16.4654   ]
 [  33.446648    37.320187 ]
 [ -36.61844    -32.781654 ]
 [   7.432797    10.556726 ]
 [ -11.595263    -8.036704 ]
 [   5.109342     8.382508 ]
 [ -14.594509   -11.372663 ]
 [   1.9766734    4.133941 ]
 [ -18.017365   -15.36598  ]
 [   6.80503      9.449343 ]
 [ -11.936745    -9.33147  ]
 [  -1.3912183    0.3246642]
 [ -10.453285    -8.418435 ]
 [  -4.779745    -3.40906  ]
 [  -4.929941    -3.1374354]
 [  -4.675473    -3.4570823]]"
70,135,[-0.00281179 -0.00904762],[-2.49402896 -1.44749403],[-2.57343292 -2.35283181],[-0.00580499  0.         -0.13931973],"[[-2.42998596e+02 -2.92824738e+02]
 [ 7.30548763e+00  1.15228615e+01]
 [-8.74056015e+01 -8.42129211e+01]
 [ 2.38800297e+01  2.75784111e+01]
 [-1.88093910e+01 -1.38117723e+01]
 [ 3.64877853e+01  4.08474960e+01]
 [-3.44124222e+01 -3.08710270e+01]
 [ 5.37050009e-01  3.71879530e+00]
 [-9.59345341e-01  2.92205763e+00]
 [ 8.25452685e-01  4.31583738e+00]
 [-1.10314579e+01 -8.16116524e+00]
 [-2.32801366e+00  2.19084322e-02]
 [-1.34293890e+01 -1.11732321e+01]
 [-2.04685569e+00  1.88158095e-01]
 [-7.32016087e+00 -4.99368811e+00]
 [-5.53427649e+00 -3.57348919e+00]
 [-4.70428371e+00 -2.62748051e+00]
 [-6.09986687e+00 -4.26834106e+00]
 [-4.50949860e+00 -2.47366524e+00]
 [-2.61392450e+00 -1.14987814e+00]]","[[-215.84895    -267.1447    ]
 [  13.379827     17.417107  ]
 [ -98.181465    -95.460785  ]
 [  22.272947     26.399048  ]
 [ -21.794567    -16.85497   ]
 [  34.579414     38.57871   ]
 [ -36.786545    -33.080383  ]
 [   7.315496     10.694301  ]
 [ -10.928797     -7.620567  ]
 [   4.6341696     8.14073   ]
 [ -13.643029    -10.481819  ]
 [   1.8868179     4.2126493 ]
 [ -17.655739    -15.198107  ]
 [   6.589206      9.510832  ]
 [ -11.754193     -9.345235  ]
 [  -1.4279392     0.39616397]
 [  -9.994714     -8.079697  ]
 [  -5.039075     -3.429683  ]
 [  -4.526628     -2.9263804 ]
 [  -4.476268     -3.03119   ]]"
